Unnamed: 0,words,left,top,width,height,page,center_x,center_y,prop_height,prop_width,is_error,word_key
528,what,330,631,86,24,2,373.0,643.0,0.0166435506241331,0.0452631578947368,0,36418160-f1a1-417e-a717-20d3ff48a0cd
529,they,443,631,84,29,2,485.0,645.5,0.0201109570041608,0.0442105263157894,0,28ece320-00a8-4b72-bc1e-cc0c56bf754e
530,were.,550,638,102,17,2,601.0,646.5,0.0117891816920943,0.0536842105263157,0,599c3a8b-8e95-42e1-88d3-a04dfab41391
531,There,684,631,106,24,2,737.0,643.0,0.0166435506241331,0.0557894736842105,0,64b92b91-2ce2-44af-bb2f-4cab1887b9f0
532,are,816,638,62,17,2,847.0,646.5,0.0117891816920943,0.0326315789473684,0,1e38c8cd-5ae5-4a22-ac83-63a5599141da
533,fourteen,905,632,173,23,2,991.5,643.5,0.0159500693481276,0.0910526315789473,0,871206df-23a5-4551-9b32-a128e2a866f2
534,other,1102,631,105,24,2,1154.5,643.0,0.0166435506241331,0.0552631578947368,0,e82001f5-b5d9-402e-b6c1-603b2448c3fa
535,known,1233,631,109,24,2,1287.5,643.0,0.0166435506241331,0.0573684210526315,0,24594a21-55a5-429c-9ea5-e18d286bda5d
536,prediscovery,1364,630,263,31,2,1495.5,645.5,0.0214979195561719,0.1384210526315789,0,bcad68f8-3d68-45e6-b528-84774bd61364
537,"observations,",2,721,276,29,2,140.0,735.5,0.0201109570041608,0.1452631578947368,0,b7b9fc19-9e56-4d07-8b78-2bb343314bd3
538,with,308,721,88,25,2,352.0,733.5,0.0173370319001386,0.0463157894736842,0,21e63e12-b741-45e9-8dd8-6f6b214f674c
539,the,421,722,61,24,2,451.5,734.0,0.0166435506241331,0.0321052631578947,0,ade54a52-34a5-4eef-ba3a-c24ac11027b3
540,oldest,508,722,128,24,2,572.0,734.0,0.0166435506241331,0.0673684210526315,0,3128c4a6-3c1a-4b5c-8a88-6ce9fd1196e2
541,made,660,722,86,24,2,703.0,734.0,0.0166435506241331,0.0452631578947368,0,2e1d9c23-4fe8-4674-bdd8-3de9381d70df
542,by,770,722,43,29,2,791.5,736.5,0.0201109570041608,0.0226315789473684,0,c1681fdb-1e65-4bf2-8010-1619ed769c2e
543,the,839,722,61,24,2,869.5,734.0,0.0166435506241331,0.0321052631578947,0,02369723-52f3-4e35-8e05-0281e449a0aa
544,Yerkes,925,722,129,24,2,989.5,734.0,0.0166435506241331,0.0678947368421052,0,856e948c-5c53-4b8d-b11e-42e794794efa
545,Observatory,1079,722,240,29,2,1199.0,736.5,0.0201109570041608,0.1263157894736842,0,2e051d3e-e7b9-407b-8547-614bfb63560f
546,on,1344,729,42,17,2,1365.0,737.5,0.0117891816920943,0.0221052631578947,0,6e933f56-8787-42da-aac2-75dff01fb1bf
547,20,1410,725,39,21,2,1429.5,735.5,0.0145631067961165,0.0205263157894736,0,d7b7c1dc-4653-4bd1-8758-ecbf08cb65e4
548,August,1474,725,130,27,2,1539.0,738.5,0.0187239944521497,0.0684210526315789,0,41a3c3cb-230b-40b8-813c-858562393ab5
549,1909.,1631,725,99,21,2,1680.5,735.5,0.0145631067961165,0.0521052631578947,0,37cca525-ef59-44ea-b502-0b2559ed2f21
550,Percival's,68,811,216,25,2,176.0,823.5,0.0173370319001386,0.1136842105263157,0,10b3a287-14e2-440c-aee5-433a73ba864d
551,"widow,",308,811,124,29,2,370.0,825.5,0.0201109570041608,0.0652631578947368,0,5d789fad-4001-46cf-9ed5-c808eff22831
552,Constance,464,815,194,21,2,561.0,825.5,0.0145631067961165,0.1021052631578947,0,5691fc97-a189-4db1-931c-a386f3259a2d
553,"Lowell,",684,812,144,28,2,756.0,826.0,0.0194174757281553,0.0757894736842105,0,6be06df1-f27e-457c-af71-da9174e198ab
554,attempted,860,812,196,30,2,958.0,827.0,0.0208044382801664,0.1031578947368421,0,9d8bfc16-cca3-4643-aeeb-a57bdc84c3b1
555,to,1081,815,39,21,2,1100.5,825.5,0.0145631067961165,0.0205263157894736,0,ca85f514-8bb9-46fc-acc7-991fe2f759ec
556,wrest,1144,815,108,21,2,1198.0,825.5,0.0145631067961165,0.0568421052631578,0,0efa0a62-4bda-42bc-ae34-d8f69cba73ba
557,the,1279,812,61,24,2,1309.5,824.0,0.0166435506241331,0.0321052631578947,0,077fb4d1-4409-41fb-8abf-8abe734daccd
558,observatory's,1366,812,282,29,2,1507.0,826.5,0.0201109570041608,0.1484210526315789,0,375b1b12-5db3-478c-9cb5-82b9361d2fb5
559,million-,1672,811,170,25,2,1757.0,823.5,0.0173370319001386,0.0894736842105263,0,417c6538-2595-4f3f-8e78-36d529ebe31c
560,dollar,1,902,128,24,2,65.0,914.0,0.0166435506241331,0.0673684210526315,0,3d7ce2a4-ba29-4039-8924-66da60333395
561,portion,154,901,154,31,2,231.0,916.5,0.0214979195561719,0.0810526315789473,0,c7663e69-f5d4-41d3-8b46-c8fbc679e848
562,of,332,903,39,23,2,351.5,914.5,0.0159500693481276,0.0205263157894736,0,c370d721-df8f-4bf5-9935-82f7901c83fa
563,his,397,901,63,25,2,428.5,913.5,0.0173370319001386,0.0331578947368421,0,275bff22-9919-46d6-ac62-324eb03c7398
564,legacy,487,902,128,30,2,551.0,917.0,0.0208044382801664,0.0673684210526315,0,823b8e62-0ad0-442a-b50b-adcc6b9b04c2
565,for,641,903,60,23,2,671.0,914.5,0.0159500693481276,0.031578947368421,0,82fa5d97-d1f2-4c44-96d9-147bbf0626ed
566,herself.,727,902,167,24,2,810.5,914.0,0.0166435506241331,0.0878947368421052,0,3a20df97-faee-43b4-b698-73ba0967052d
567,Because,925,905,151,21,2,1000.5,915.5,0.0145631067961165,0.0794736842105263,0,3d591cd3-0699-4c3a-834b-0f482ad8842c
568,of,1102,903,39,23,2,1121.5,914.5,0.0159500693481276,0.0205263157894736,0,6e982082-1ab3-46d0-a734-8546c60337d1
569,that,1169,902,83,24,2,1210.5,914.0,0.0166435506241331,0.0436842105263157,0,07c052eb-cf70-4de4-bac6-ff298d45dae5
570,ten-year,1279,905,170,26,2,1364.0,918.0,0.0180305131761442,0.0894736842105263,0,c3cb20d6-bf14-4e52-819b-db920e3420f8
571,legal,1477,902,104,30,2,1529.0,917.0,0.0208044382801664,0.0547368421052631,0,283674ae-d2fb-42f5-b6f0-f95840240a29
572,"battle,",1606,902,146,28,2,1679.0,916.0,0.0194174757281553,0.0768421052631578,0,58074364-5a31-4926-9477-971e2d9b9db5
573,the,1785,902,61,24,2,1815.5,914.0,0.0166435506241331,0.0321052631578947,0,b0f61906-c91a-41b1-a909-768543f25fcf
574,search,3,992,129,24,2,67.5,1004.0,0.0166435506241331,0.0678947368421052,0,af419990-b03c-4355-ba63-4a3127f6f38d
575,for,157,993,60,23,2,187.0,1004.5,0.0159500693481276,0.031578947368421,0,14d6dcb5-13d1-46b3-91ec-1683075877ab
576,Planet,244,992,128,24,2,308.0,1004.0,0.0166435506241331,0.0673684210526315,0,7222e927-a490-4985-9104-619fcb425fe7
577,X,397,995,21,21,2,407.5,1005.5,0.0145631067961165,0.0110526315789473,0,4d68ec65-ec3c-4534-994a-d162d395c273
578,did,441,991,65,25,2,473.5,1003.5,0.0173370319001386,0.0342105263157894,0,0bb40a97-745b-4475-bb20-5bb3aace5c24
579,not,529,995,63,21,2,560.5,1005.5,0.0145631067961165,0.0331578947368421,0,b4c1ac57-72b6-473a-bea9-961136ca5dc3
580,resume,618,998,128,18,2,682.0,1007.0,0.0124826629680998,0.0673684210526315,0,b26ea420-f28b-4c43-98a5-7f65ed315540
581,until,771,991,106,25,2,824.0,1003.5,0.0173370319001386,0.0557894736842105,0,0f9c5a12-8ca1-446b-b52c-8ce12ec8c764
582,1929.,905,995,99,21,2,954.5,1005.5,0.0145631067961165,0.0521052631578947,0,6be82f1a-7005-40d4-91df-ec2eb571ea26
583,Vesto,1034,995,108,21,2,1088.0,1005.5,0.0145631067961165,0.0568421052631578,0,505e13f2-c294-4556-9a8c-e2d69d3b5190
584,Melvin,1166,991,132,25,2,1232.0,1003.5,0.0173370319001386,0.0694736842105263,0,a06cdbf8-f7f3-4d97-bbb7-6c3beae0ad40
585,"Slipher,",1322,991,166,31,2,1405.0,1006.5,0.0214979195561719,0.0873684210526315,0,3fc48dc9-2f2d-4a31-bb26-65dc0750ecaa
586,the,1521,992,61,24,2,1551.5,1004.0,0.0166435506241331,0.0321052631578947,0,cafae9b2-f7bd-46e1-a143-fabc848fae79
587,observatory,1608,992,239,29,2,1727.5,1006.5,0.0201109570041608,0.1257894736842105,0,e4596619-b42e-4843-9bed-0e94508a27d0
588,"director,",1,1081,189,29,2,95.5,1095.5,0.0201109570041608,0.0994736842105263,0,c4b6b977-6c58-471d-ab52-700787b12e86
589,summarily,223,1081,194,30,2,320.0,1096.0,0.0208044382801664,0.1021052631578947,0,882fb057-a6ab-438d-ab31-c1f722b9117e
590,handed,441,1082,131,24,2,506.5,1094.0,0.0166435506241331,0.0689473684210526,0,4f343f8b-a686-4378-97bb-17be7933f9f1
591,the,597,1082,61,24,2,627.5,1094.0,0.0166435506241331,0.0321052631578947,0,9dbf4a03-b9bb-4b50-863f-22ee3f2822f0
592,job,684,1081,63,31,2,715.5,1096.5,0.0214979195561719,0.0331578947368421,0,60f9b4f3-af4b-4bc5-a83b-d737ae56b32a
