Unnamed: 0,words,left,top,width,height,page,center_x,center_y,prop_height,prop_width,is_error,word_key
88,with,792,540,88,25,0,836.0,552.5,0.0173370319001386,0.0463157894736842,0,ea768ff4-5215-4b7f-a72a-fa58ee075c91
89,no,903,548,41,17,0,923.5,556.5,0.0117891816920943,0.021578947368421,0,3ba1976c-8cdd-481d-88ee-3f37d78a6c78
90,means,968,547,108,18,0,1022.0,556.0,0.0124826629680998,0.0568421052631578,0,a2403e0a-d8e9-41da-b4e8-cda4f4920830
91,of,1102,542,39,23,0,1121.5,553.5,0.0159500693481276,0.0205263157894736,0,b506be15-ab36-4238-a5d8-87d59c8b7117
92,communicating,1168,540,284,31,0,1310.0,555.5,0.0214979195561719,0.1494736842105263,0,2b315959-3ebb-4f9b-9ebc-fdd4e95cff0b
93,with,1474,540,88,25,0,1518.0,552.5,0.0173370319001386,0.0463157894736842,0,ca64f4df-6ac8-4dcc-a301-ac273e864918
94,the,1587,541,61,24,0,1617.5,553.0,0.0166435506241331,0.0321052631578947,0,823067a7-0dd8-4b22-8959-ddf9334414fc
95,other.,1674,541,122,24,0,1735.0,553.0,0.0166435506241331,0.0642105263157894,0,6df0830c-73a5-4bfc-8b72-b3b55ef829a5
96,The,1828,541,62,24,0,1859.0,553.0,0.0166435506241331,0.0326315789473684,0,e5c8e4f5-62b7-4d73-9660-4f05b502df4e
97,prosecutors,0,634,240,27,0,120.0,647.5,0.0187239944521497,0.1263157894736842,0,0c3ae6d3-ea35-4776-a841-02e6e7325399
98,lack,267,631,84,24,0,309.0,643.0,0.0166435506241331,0.0442105263157894,0,e5fd5244-6a14-4882-ac8d-acdeef782037
99,sufficient,377,630,215,25,0,484.5,642.5,0.0173370319001386,0.1131578947368421,0,de402961-fe51-4ddf-808e-f5982cbdb7f2
100,evidence,618,630,172,25,0,704.0,642.5,0.0173370319001386,0.0905263157894736,0,74cb9101-952e-4312-9886-db1e0a5b1399
101,to,817,634,39,21,0,836.5,644.5,0.0145631067961165,0.0205263157894736,0,e7eefd14-e400-4ef7-9ce1-fd845a0bc59c
102,convict,882,630,150,25,0,957.0,642.5,0.0173370319001386,0.0789473684210526,0,aa712e5a-fcc2-4ba0-a72a-25f16ed40b59
103,the,1059,631,61,24,0,1089.5,643.0,0.0166435506241331,0.0321052631578947,0,905c6636-8f22-4c15-a570-cb6afa6b0672
104,pair,1144,630,85,31,0,1186.5,645.5,0.0214979195561719,0.0447368421052631,0,d0b59a41-c590-4b34-921f-499fd9277d9c
105,on,1256,638,42,17,0,1277.0,646.5,0.0117891816920943,0.0221052631578947,0,7193b1bc-5d5f-4dc0-9bfc-ba14dc1bb708
106,the,1323,631,61,24,0,1353.5,643.0,0.0166435506241331,0.0321052631578947,0,880aece4-c219-4590-ad0f-f89c25d21c7e
107,principal,1408,630,195,31,0,1505.5,645.5,0.0214979195561719,0.1026315789473684,0,9d9d71ac-de52-43d1-b205-57121b3a5742
108,charge.,1630,631,144,30,0,1702.0,646.0,0.0208044382801664,0.0757894736842105,0,63aac041-8c57-4c37-b336-edb635beaf66
109,They,1806,631,85,29,0,1848.5,645.5,0.0201109570041608,0.0447368421052631,0,080aae47-0433-4322-97e2-47ddd0db8fc7
110,hope,1,722,85,30,0,43.5,737.0,0.0208044382801664,0.0447368421052631,0,2abefe28-8128-4fe4-ad7f-ff0d5a68704f
111,to,113,725,39,21,0,132.5,735.5,0.0145631067961165,0.0205263157894736,0,b3af6b10-947e-4425-be1c-2377f50586b4
112,get,178,725,62,27,0,209.0,738.5,0.0187239944521497,0.0326315789473684,0,6b188e54-fb54-408c-8924-fcba91b847e0
113,both,264,722,88,24,0,308.0,734.0,0.0166435506241331,0.0463157894736842,0,fae470fd-03dc-4d66-9ab2-895363eebbc9
114,sentenced,377,722,195,24,0,474.5,734.0,0.0166435506241331,0.1026315789473684,0,76752c89-3c2a-456a-859a-c58036681d50
115,to,597,725,39,21,0,616.5,735.5,0.0145631067961165,0.0205263157894736,0,d85a2eb8-45db-4957-b9c9-4d472dbfdb39
116,a,662,729,19,17,0,671.5,737.5,0.0117891816920943,0.01,0,d7ec92af-f8f5-46a7-aa91-e06ccfe866b5
117,year,704,729,85,22,0,746.5,740.0,0.015256588072122,0.0447368421052631,0,0546d030-2c96-4273-9961-255f31198fec
118,in,818,721,40,25,0,838.0,733.5,0.0173370319001386,0.0210526315789473,0,3fe88966-c5c1-4c0e-9b2d-42ec4b3ff0a6
119,prison,880,721,132,31,0,946.0,736.5,0.0214979195561719,0.0694736842105263,0,d7098ce3-0fec-4bef-8446-11aa9f65638e
120,on,1036,729,42,17,0,1057.0,737.5,0.0117891816920943,0.0221052631578947,0,e32d3167-64dd-45df-b6c5-123216921022
121,a,1102,729,19,17,0,1111.5,737.5,0.0117891816920943,0.01,0,0e931170-15e1-4ede-a96f-83d3f07a44f4
122,lesser,1147,722,126,24,0,1210.0,734.0,0.0166435506241331,0.0663157894736842,0,861e22cf-e6f4-496b-b70a-f0e73397703b
123,charge.,1300,722,144,30,0,1372.0,737.0,0.0208044382801664,0.0757894736842105,0,8df80d0d-8f95-4119-9bfd-82a3e512368d
124,"Simultaneously,",1476,721,320,30,0,1636.0,736.0,0.0208044382801664,0.1684210526315789,0,2f0d9a21-d40c-405f-b723-51b5eba23038
125,the,1829,722,61,24,0,1859.5,734.0,0.0166435506241331,0.0321052631578947,0,32b7de1b-2335-426b-bcac-1fe50cd02b8e
126,prosecutors,0,815,240,27,0,120.0,828.5,0.0187239944521497,0.1263157894736842,0,3f7bede3-928a-47ae-9e5f-378b5c66db42
127,offer,266,813,105,23,0,318.5,824.5,0.0159500693481276,0.0552631578947368,0,e4cc8447-bc47-4903-bb27-0d41293bc6e3
128,each,398,812,86,24,0,441.0,824.0,0.0166435506241331,0.0452631578947368,0,b4996637-5d3d-4d5b-ae5a-050e68569340
129,prisoner,506,811,173,31,0,592.5,826.5,0.0214979195561719,0.0910526315789473,0,f499fec0-2163-45f7-b2cc-d912a879ce9f
130,a,706,819,19,17,0,715.5,827.5,0.0117891816920943,0.01,0,24038f42-dfd6-4b1b-8c1d-c833834f4c6d
