Unnamed: 0,words,left,top,width,height,page,center_x,center_y,prop_height,prop_width,is_error,word_key
70,British,859,450,153,25,0,935.5,462.5,0.0173370319001386,0.0805263157894736,0,877236d2-f556-4eff-b046-a6bc4e7ea159
71,codebreakers,1036,451,260,24,0,1166.0,463.0,0.0166435506241331,0.1368421052631579,0,f6be3019-c9a8-44ac-990f-b45ecb415705
72,from,1323,452,85,23,0,1365.5,463.5,0.0159500693481276,0.0447368421052631,0,7b077a94-a2d6-42d7-abfd-3c7634ce882f
73,both,1430,451,88,24,0,1474.0,463.0,0.0166435506241331,0.0463157894736842,0,d57f31c2-c16d-41fd-a9b1-f90f54257f67
74,World,1540,451,110,24,0,1595.0,463.0,0.0166435506241331,0.0578947368421052,0,0db3ed54-c14c-4416-a698-53b23da9ec6e
75,War,1672,454,63,21,0,1703.5,464.5,0.0145631067961165,0.0331578947368421,0,7a0ae79c-d147-43a7-985b-533ad979172d
76,I,1763,454,16,21,0,1771.0,464.5,0.0145631067961165,0.0084210526315789,0,863b3f5f-a066-4b03-939f-f3090bbbadad
77,and,1806,451,64,24,0,1838.0,463.0,0.0166435506241331,0.0336842105263157,0,56aab84c-04f2-4c8f-998c-a2180feff4d7
78,World,0,541,110,24,0,55.0,553.0,0.0166435506241331,0.0578947368421052,0,72c8ba59-7a14-4560-9b3b-4790be0041df
79,War,132,544,63,21,0,163.5,554.5,0.0145631067961165,0.0331578947368421,0,8694972f-6219-40cf-8a1c-0b317a6798c3
80,II.,223,544,55,21,0,250.5,554.5,0.0145631067961165,0.0289473684210526,0,d3730e6d-80fe-4c47-bca0-8040834ca8d2
81,No,308,544,42,21,0,329.0,554.5,0.0145631067961165,0.0221052631578947,0,e18d925d-0d83-421d-8bcb-102791390b3c
82,one,376,548,62,17,0,407.0,556.5,0.0117891816920943,0.0326315789473684,0,ed89f79c-956b-4bc1-8141-b3e6a2e5f24a
83,has,463,541,63,24,0,494.5,553.0,0.0166435506241331,0.0331578947368421,0,11ce11aa-51ec-4e0e-8eb0-f6728c645378
84,yet,550,544,64,26,0,582.0,557.0,0.0180305131761442,0.0336842105263157,0,e90ab911-52d0-4476-96ea-fa89415516e2
85,succeeded,641,541,195,24,0,738.5,553.0,0.0166435506241331,0.1026315789473684,0,dc0ab704-b753-4993-87dc-ce69a54be48e
86,in,862,540,40,25,0,882.0,552.5,0.0173370319001386,0.0210526315789473,0,2fc9dc2b-585f-45e4-8983-d4adef7196ad
87,deciphering,925,540,241,31,0,1045.5,555.5,0.0214979195561719,0.1268421052631579,0,7bb63361-0485-45d9-a9fb-9b8c4e39b75d
88,the,1191,541,61,24,0,1221.5,553.0,0.0166435506241331,0.0321052631578947,0,41e0914e-78d2-40ea-b9c2-d8aa34d5aba8
89,"text,",1279,544,99,25,0,1328.5,556.5,0.0173370319001386,0.0521052631578947,0,614f61a2-ff85-456d-b095-30ae0a501f3c
90,and,1410,541,64,24,0,1442.0,553.0,0.0166435506241331,0.0336842105263157,0,58384bc6-5979-493a-a25f-80d0e1ee7e91
91,it,1500,540,38,25,0,1519.0,552.5,0.0173370319001386,0.02,0,7c7774e2-38b3-4956-b0c2-79a6d05fb580
92,has,1563,541,63,24,0,1594.5,553.0,0.0166435506241331,0.0331578947368421,0,2b1ce439-5788-436d-bc31-af70bb02a1dc
93,become,1650,541,130,24,0,1715.0,553.0,0.0166435506241331,0.0684210526315789,0,86146868-048b-43f2-a916-671e2e6a54ab
94,a,1806,548,19,17,0,1815.5,556.5,0.0117891816920943,0.01,0,68e0f5df-7f86-4a0d-bedd-d26a4b7c6939
95,famous,3,632,127,23,0,66.5,643.5,0.0159500693481276,0.0668421052631579,0,5a372f4e-8da7-4261-aec2-ca1a165eded5
96,case,156,637,84,18,0,198.0,646.0,0.0124826629680998,0.0442105263157894,0,12f4284e-de30-4361-942b-fa5444547597
97,in,268,630,40,25,0,288.0,642.5,0.0173370319001386,0.0210526315789473,0,34cb15d4-6a5a-4165-b017-204a05d76edc
98,the,333,631,61,24,0,363.5,643.0,0.0166435506241331,0.0321052631578947,0,a66af8bf-8781-4a60-a691-ec5d0b2f1a7f
99,history,419,630,152,30,0,495.0,645.0,0.0208044382801664,0.08,0,ba89efa5-90a0-4787-bf5d-666fe20cedae
100,of,596,632,39,23,0,615.5,643.5,0.0159500693481276,0.0205263157894736,0,ac38325a-30fe-45df-9273-4bbc7c8ffddc
101,cryptography.,662,631,276,30,0,800.0,646.0,0.0208044382801664,0.1452631578947368,0,d8a91b56-f0d0-4aa4-b291-c4bc2cf46dff
102,The,970,631,62,24,0,1001.0,643.0,0.0166435506241331,0.0326315789473684,0,4587050c-915c-457a-97c6-3bf129d2ca3a
103,mystery,1056,634,153,26,0,1132.5,647.0,0.0180305131761442,0.0805263157894736,0,b012515c-0207-4dd5-a6dd-78673d7ab28f
104,of,1234,632,39,23,0,1253.5,643.5,0.0159500693481276,0.0205263157894736,0,3312ec83-5e08-4690-8104-b8c48f2f0d92
105,the,1301,631,61,24,0,1331.5,643.0,0.0166435506241331,0.0321052631578947,0,5b5e00bb-0d37-4eef-bd19-511b4dd4da47
106,meaning,1386,630,154,31,0,1463.0,645.5,0.0214979195561719,0.0810526315789473,0,955f7ba0-1045-4f5a-a5de-a7364d5606c4
107,and,1564,631,64,24,0,1596.0,643.0,0.0166435506241331,0.0336842105263157,0,36f41b26-a647-4595-8c4d-d42f0d452c01
108,origin,1652,630,130,31,0,1717.0,645.5,0.0214979195561719,0.0684210526315789,0,924d71c8-570b-46e6-8e39-c3abf3894cbc
109,of,1806,632,39,23,0,1825.5,643.5,0.0159500693481276,0.0205263157894736,0,4702bc42-6cdc-4878-902b-0a594353d52d
110,the,3,722,61,24,0,33.5,734.0,0.0166435506241331,0.0321052631578947,0,6c58faa5-a601-494c-b07e-32d4dd2e0c2a
111,manuscript,88,721,218,31,0,197.0,736.5,0.0214979195561719,0.1147368421052631,0,631e470c-3f31-48d5-a6d4-48c49003969a
112,has,331,722,63,24,0,362.5,734.0,0.0166435506241331,0.0331578947368421,0,5dbbb546-d842-4b3c-b092-094f0bc45f04
113,excited,420,721,152,25,0,496.0,733.5,0.0173370319001386,0.08,0,7838a2f4-19e4-4289-b0f5-a3f45de4dd52
114,the,597,722,61,24,0,627.5,734.0,0.0166435506241331,0.0321052631578947,0,2a7d503d-96fe-44e2-bdb6-097b62d9010c
115,popular,682,722,151,30,0,757.5,737.0,0.0208044382801664,0.0794736842105263,0,2be15af3-3b8d-433d-81b2-ab606a32a1cf
116,"imagination,",862,721,252,31,0,988.0,736.5,0.0214979195561719,0.1326315789473684,0,66785b3a-ce93-4fdb-95a1-ffdf3b2d102b
117,making,1144,721,132,31,0,1210.0,736.5,0.0214979195561719,0.0694736842105263,0,854fc75a-8350-4366-a225-c413efb7d733
118,the,1301,722,61,24,0,1331.5,734.0,0.0166435506241331,0.0321052631578947,0,b82c000d-de43-485c-a216-e93042eda3c9
119,manuscript,1386,721,218,31,0,1495.0,736.5,0.0214979195561719,0.1147368421052631,0,5ff7303f-5901-4370-bea2-6e5102dfcf3b
120,the,1631,722,61,24,0,1661.5,734.0,0.0166435506241331,0.0321052631578947,0,41f59cdf-644b-42e8-8c5a-669553385d96
121,subject,1719,721,149,31,0,1793.5,736.5,0.0214979195561719,0.0784210526315789,0,12ac8fb5-3b26-435d-b441-4ba332f2d4cc
122,of,2,813,39,23,0,21.5,824.5,0.0159500693481276,0.0205263157894736,0,3538706b-6db1-4fa1-bad4-08dae6c26d83
123,novels,67,812,129,24,0,131.5,824.0,0.0166435506241331,0.0678947368421052,0,4b45ee29-09d8-4588-8179-f011f0009e81
124,and,222,812,64,24,0,254.0,824.0,0.0166435506241331,0.0336842105263157,0,7b29d18c-8d7a-4ecd-8a94-0dff3c39444b
125,speculation.,311,811,253,31,0,437.5,826.5,0.0214979195561719,0.1331578947368421,0,8e67dce0-a42c-4512-802b-8981913d83a4
126,None,594,815,86,21,0,637.0,825.5,0.0145631067961165,0.0452631578947368,0,a168630c-75a7-4945-9cec-840e7c0fe584
127,of,706,813,39,23,0,725.5,824.5,0.0159500693481276,0.0205263157894736,0,0e0f8884-05bb-46fe-8514-53d2504e98b2
128,the,773,812,61,24,0,803.5,824.0,0.0166435506241331,0.0321052631578947,0,c629e6b5-2801-4ea4-8d7b-629bb53d1545
129,many,858,819,87,22,0,901.5,830.0,0.015256588072122,0.0457894736842105,0,571b7f31-8872-421c-aa99-3d8f81c24fa1
130,hypotheses,969,812,217,30,0,1077.5,827.0,0.0208044382801664,0.1142105263157894,0,e455998d-7b8c-4611-bc1b-8db563002a39
131,proposed,1210,812,176,30,0,1298.0,827.0,0.0208044382801664,0.0926315789473684,0,77ca2b2b-c726-4074-b271-e81f8d9c7a59
132,over,1410,819,83,17,0,1451.5,827.5,0.0117891816920943,0.0436842105263157,0,05bddf81-9452-4ae5-b297-f8ddecae72a8
133,the,1521,812,61,24,0,1551.5,824.0,0.0166435506241331,0.0321052631578947,0,c27c18ed-3c40-4242-8d67-2098629e1d96
134,last,1609,812,83,24,0,1650.5,824.0,0.0166435506241331,0.0436842105263157,0,f4450e24-2000-4f5c-9cce-e089ae430906
135,hundred,1717,812,153,24,0,1793.5,824.0,0.0166435506241331,0.0805263157894736,0,f66e5871-5b43-42b1-a702-adb58b021ff9
136,years,0,908,108,23,0,54.0,919.5,0.0159500693481276,0.0568421052631578,0,2d06f100-8a81-48d0-bf9e-7c6fcf184d7a
137,has,133,902,63,24,0,164.5,914.0,0.0166435506241331,0.0331578947368421,0,bf4cbfc2-3bc5-45e4-8be4-772d688bccdf
138,yet,220,905,64,26,0,252.0,918.0,0.0180305131761442,0.0336842105263157,0,5600ab1c-1405-4079-a7ae-aa0fd977a193
139,been,308,902,88,24,0,352.0,914.0,0.0166435506241331,0.0463157894736842,0,60ddb088-9248-49b4-a46d-5da2ce2b6fa9
140,independently,422,901,281,31,0,562.5,916.5,0.0214979195561719,0.1478947368421052,0,823dbfae-223e-418e-96e7-808d7368a96a
141,verified.,726,901,190,25,0,821.0,913.5,0.0173370319001386,0.1,0,eaedea24-b4f6-457a-bbf6-fd11e7d2387e
142,The,68,992,62,24,0,99.0,1004.0,0.0166435506241331,0.0326315789473684,0,d88db20a-f383-4359-bb8e-a86b688dde91
143,Voynich,154,991,154,30,0,231.0,1006.0,0.0208044382801664,0.0810526315789473,0,198db7a3-c972-40f6-8fc9-eac485f8aa48
144,manuscript,330,991,218,31,0,439.0,1006.5,0.0214979195561719,0.1147368421052631,0,ce1193ce-c1a7-4c15-8b92-0aab6f17fcb3
145,was,572,998,64,18,0,604.0,1007.0,0.0124826629680998,0.0336842105263157,0,99ea80f6-cfac-46b8-88c6-78260b8abd2c
146,donated,661,992,153,24,0,737.5,1004.0,0.0166435506241331,0.0805263157894736,0,50d43c95-642d-4ebf-aa3d-b63af0fd21fc
147,by,836,992,43,29,0,857.5,1006.5,0.0201109570041608,0.0226315789473684,0,e4cfe124-6262-4bcf-825c-522aed01d8d8
148,Hans,903,995,85,21,0,945.5,1005.5,0.0145631067961165,0.0447368421052631,0,cc00f5a0-2e90-46c3-bd34-b996602b6cb8
149,P.,1014,995,34,21,0,1031.0,1005.5,0.0145631067961165,0.0178947368421052,0,427ca760-cd3c-4af8-9c4d-d4b214241641
150,Kraus,1079,995,107,21,0,1132.5,1005.5,0.0145631067961165,0.0563157894736842,0,25c3467b-41eb-4bcb-a32e-8c0d306f57a1
151,to,1213,995,39,21,0,1232.5,1005.5,0.0145631067961165,0.0205263157894736,0,52ebd05e-96cc-43c1-af78-ee38e26e7852
152,Yale,1277,992,85,24,0,1319.5,1004.0,0.0166435506241331,0.0447368421052631,0,2562561c-6241-47bf-a22b-a22441e9ed81
153,University's,1386,991,262,30,0,1517.0,1006.0,0.0208044382801664,0.1378947368421052,0,24c89807-994c-44cf-9457-8d0efea32850
154,Beinecke,1673,991,173,25,0,1759.5,1003.5,0.0173370319001386,0.0910526315789473,0,c80a1886-af8a-4a89-87e1-726007eedc07
155,Rare,1,1085,85,21,0,43.5,1095.5,0.0145631067961165,0.0447368421052631,0,b1821af1-403f-49fb-b5c8-2b1ef72d368a
