words,left,top,width,height,page,center_x,center_y,prop_height,prop_width,word_key
dwarf,177,451,106,24,0,230.0,463.0,0.0166435506241331,0.0557894736842105,36bafa83-dffe-486a-83b9-e65de7e61d45
planet,308,451,130,30,0,373.0,466.0,0.0208044382801664,0.0684210526315789,a17fd6dc-15e6-4f6c-bd8e-00bc46509a6d
in,466,450,40,25,0,486.0,462.5,0.0173370319001386,0.0210526315789473,f740dbca-af1f-41ca-b961-63b1c2d2c011
the,531,451,61,24,0,561.5,463.0,0.0166435506241331,0.0321052631578947,f594d734-c740-465b-8b1f-63fba68f24a7
scattered,619,451,195,24,0,716.5,463.0,0.0166435506241331,0.1026315789473684,939f087b-2a86-4db9-a93f-ff05524f7b23
disc.,837,450,101,25,0,887.5,462.5,0.0173370319001386,0.0531578947368421,69297bf6-a4c3-47bb-b8a3-5ca20089a29b
Like,970,450,84,25,0,1012.0,462.5,0.0173370319001386,0.0442105263157894,4a6b42ea-f2bd-4a77-a27d-108190a5068f
other,1080,451,105,24,0,1132.5,463.0,0.0166435506241331,0.0552631578947368,6aa70500-5848-4f11-9a66-7403475871f3
Kuiper,1211,450,128,31,0,1275.0,465.5,0.0214979195561719,0.0673684210526315,109fd479-d530-4dd9-b405-cfaad3fee378
belt,1364,451,86,24,0,1407.0,463.0,0.0166435506241331,0.0452631578947368,732212fa-ffe6-4f19-8343-0f6b5c11d494
"objects,",1476,450,166,31,0,1559.0,465.5,0.0214979195561719,0.0873684210526315,457b36e3-7e2b-46e4-b49c-97cfed18e23d
Pluto,1674,451,106,24,0,1727.0,463.0,0.0166435506241331,0.0557894736842105,42d474ca-32fd-408d-bf06-3545a23e4eb4
is,1808,450,38,25,0,1827.0,462.5,0.0173370319001386,0.02,a9df79ac-4f69-4d0b-abdd-cff6e5728a33
primarily,0,540,197,31,0,98.5,555.5,0.0214979195561719,0.1036842105263158,bb9ca17a-cde0-4012-9e00-279f6924a7fd
made,220,541,86,24,0,263.0,553.0,0.0166435506241331,0.0452631578947368,ccc04da7-b450-4aa8-8ffe-6c65b8e649e8
of,332,542,39,23,0,351.5,553.5,0.0159500693481276,0.0205263157894736,e1097f17-8a9c-4798-a9a8-987456309d76
ice,400,540,60,25,0,430.0,552.5,0.0173370319001386,0.031578947368421,af95300d-f5ef-4990-ab10-6b0aee024dc0
and,486,541,64,24,0,518.0,553.0,0.0166435506241331,0.0336842105263157,8e126a8e-39e6-4bf5-beb3-a1103055954e
rock,574,541,85,24,0,616.5,553.0,0.0166435506241331,0.0447368421052631,0d3977de-48b6-4c3e-a7bb-7ff0d589f9eb
and,684,541,64,24,0,716.0,553.0,0.0166435506241331,0.0336842105263157,c128b0ab-458b-4b62-8065-15e85ac347c0
is,774,540,38,25,0,793.0,552.5,0.0173370319001386,0.02,68835b5c-1b7e-4b86-9cf2-7dc755d2b041
relatively,838,540,217,30,0,946.5,555.0,0.0208044382801664,0.1142105263157894,dd7b265f-f927-4585-9a88-d162e67bbb85
small,1081,541,104,24,0,1133.0,553.0,0.0166435506241331,0.0547368421052631,74135477-9532-4471-8b5b-728eb9e4c140
--,1216,553,32,3,0,1232.0,554.5,0.0020804438280166,0.0168421052631578,bf6fd0e7-ac8b-418a-82b1-362c77334828
about,1278,541,106,24,0,1331.0,553.0,0.0166435506241331,0.0557894736842105,156b2672-d01d-49e1-8f7e-de2fcaf042c0
one-sixth,1410,540,196,25,0,1508.0,552.5,0.0173370319001386,0.1031578947368421,cad193b5-a7d7-48e5-b8f6-f599dd1a56e0
the,1631,541,61,24,0,1661.5,553.0,0.0166435506241331,0.0321052631578947,7aec2525-6b27-4fb9-9e50-b467b591309b
mass,1716,547,86,18,0,1759.0,556.0,0.0124826629680998,0.0452631578947368,2416efe1-cadf-40ae-b191-123b828223d1
of,1828,542,39,23,0,1847.5,553.5,0.0159500693481276,0.0205263157894736,6a746d46-55b4-40e2-9d1b-c2edef4bbbf4
the,3,631,61,24,0,33.5,643.0,0.0166435506241331,0.0321052631578947,73ab4b7e-2069-4edb-98d6-0e28aae7172e
Moon,88,634,88,21,0,132.0,644.5,0.0145631067961165,0.0463157894736842,c05f577c-50b9-4699-b5bd-07be81f06d57
and,200,631,64,24,0,232.0,643.0,0.0166435506241331,0.0336842105263157,4b462079-e786-4798-8de9-0ba1c381957e
one-third,288,630,196,25,0,386.0,642.5,0.0173370319001386,0.1031578947368421,a2a26cc1-235b-4a64-9a95-9a2bf4d37c14
its,510,630,60,25,0,540.0,642.5,0.0173370319001386,0.031578947368421,5fa298ac-1740-46bd-98e7-028205419573
volume.,594,631,146,24,0,667.0,643.0,0.0166435506241331,0.0768421052631578,202ed870-fb4d-4f17-90d9-b9e119a96ae3
It,773,634,39,21,0,792.5,644.5,0.0145631067961165,0.0205263157894736,967fc81c-0a75-4796-965a-cc13c3f93763
has,837,631,63,24,0,868.5,643.0,0.0166435506241331,0.0331578947368421,fd94f597-9b0a-4bdd-902d-a99ad94ae79c
a,926,638,19,17,0,935.5,646.5,0.0117891816920943,0.01,d8a9de24-9b1c-4800-8866-92638c163b83
moderately,968,631,219,29,0,1077.5,645.5,0.0201109570041608,0.1152631578947368,bc5a2aa8-48c6-49c3-b989-b0143da07c33
eccentric,1212,630,194,25,0,1309.0,642.5,0.0173370319001386,0.1021052631578947,918c8b00-43ce-462a-b76c-8f37cf4a45fa
and,1432,631,64,24,0,1464.0,643.0,0.0166435506241331,0.0336842105263157,33a34782-09a9-4a08-9527-19df670ecbb4
inclined,1522,630,172,25,0,1608.0,642.5,0.0173370319001386,0.0905263157894736,6c568981-ef87-4f2b-900b-c2e71dad3034
orbit,1718,630,106,25,0,1771.0,642.5,0.0173370319001386,0.0557894736842105,203ce644-72d7-4c89-a76b-4def76617ab3
during,1,721,131,31,0,66.5,736.5,0.0214979195561719,0.0689473684210526,cc1e9518-b209-40d1-8a49-1eb554cfdd9b
which,154,721,110,25,0,209.0,733.5,0.0173370319001386,0.0578947368421052,c98d4716-a49e-4233-af3a-ce66b7e6487e
it,290,721,38,25,0,309.0,733.5,0.0173370319001386,0.02,ad62085c-de60-44ff-8d12-c351d1002663
ranges,354,728,128,24,0,418.0,740.0,0.0166435506241331,0.0673684210526315,fe3876a2-6c55-443a-8560-9bf38cf58e4e
from,509,723,85,23,0,551.5,734.5,0.0159500693481276,0.0447368421052631,4cd35201-c067-4f14-8d27-6c6cd1aaed2c
30,620,725,37,21,0,638.5,735.5,0.0145631067961165,0.0194736842105263,ef21c133-857a-424f-87f5-5757835b2c27
to,685,725,39,21,0,704.5,735.5,0.0145631067961165,0.0205263157894736,a6901480-d05a-4702-b152-343ecce2feda
49,750,725,39,21,0,769.5,735.5,0.0145631067961165,0.0205263157894736,0c6b84be-7ae2-4b2c-a10b-353fbb3df011
astronomical,816,721,259,25,0,945.5,733.5,0.0173370319001386,0.1363157894736842,fa6b74bb-6b1f-45ab-9944-68281f5e62b5
units,1101,721,107,25,0,1154.5,733.5,0.0173370319001386,0.0563157894736842,2ef36b5e-5f46-42ec-9159-7e67e3027fd7
or,1234,729,39,17,0,1253.5,737.5,0.0117891816920943,0.0205263157894736,551fdd69-a33b-4812-a6a9-ce345893aed7
AU,1298,725,44,21,0,1320.0,735.5,0.0145631067961165,0.0231578947368421,dd32d299-e075-41a5-b669-b8a3f71315ac
(4.4-7.3,1374,722,163,27,0,1455.5,735.5,0.0187239944521497,0.0857894736842105,a5b9ee82-91d2-42af-aa76-7875fbda3eb0
billion,1562,721,154,25,0,1639.0,733.5,0.0173370319001386,0.0810526315789473,6008b363-329a-4699-944a-86edc380de24
km),1739,722,55,27,0,1766.5,735.5,0.0187239944521497,0.0289473684210526,9aad3453-039a-4204-aa66-1a540f6f11b4
from,3,813,85,23,0,45.5,824.5,0.0159500693481276,0.0447368421052631,0c1d169e-26c7-4c84-a590-d3d0f3375174
the,113,812,61,24,0,143.5,824.0,0.0166435506241331,0.0321052631578947,38d47840-dc75-42f3-9797-3d0383071051
Sun.,200,814,78,22,0,239.0,825.0,0.015256588072122,0.0410526315789473,4c80b5e7-cbb0-489f-8ffe-a75a4e44b4c2
This,310,811,84,25,0,352.0,823.5,0.0173370319001386,0.0442105263157894,40f0ca70-81d9-466a-ad13-b5547823ef8c
means,418,818,108,18,0,472.0,827.0,0.0124826629680998,0.0568421052631578,35049749-f809-4c04-aec2-39fcaddea6e3
that,553,812,83,24,0,594.5,824.0,0.0166435506241331,0.0436842105263157,f91d95c5-f9bc-4fb0-99c5-bc11aa016b96
Pluto,662,812,106,24,0,715.0,824.0,0.0166435506241331,0.0557894736842105,3a2c7ea6-7170-4b24-be20-76cce873ce6a
periodically,792,811,263,31,0,923.5,826.5,0.0214979195561719,0.1384210526315789,49282dd0-7f08-49b6-a1e9-6f1ed79bdbef
comes,1080,818,106,18,0,1133.0,827.0,0.0124826629680998,0.0557894736842105,0d4727ca-9731-4561-8b5b-d68bd090d818
closer,1212,812,127,24,0,1275.5,824.0,0.0166435506241331,0.0668421052631579,f0bb9761-d910-41bf-b954-c9691682673b
to,1367,815,39,21,0,1386.5,825.5,0.0145631067961165,0.0205263157894736,984df291-8cea-458b-bd50-258f286c5a84
the,1433,812,61,24,0,1463.5,824.0,0.0166435506241331,0.0321052631578947,66892a97-6e44-4fe3-af22-e2dde5205402
Sun,1520,814,64,22,0,1552.0,825.0,0.015256588072122,0.0336842105263157,703d811b-3d9f-4afd-8a80-6d12afc2a5b0
than,1609,812,85,24,0,1651.5,824.0,0.0166435506241331,0.0447368421052631,a04b4d68-2125-48ac-b169-e7ae6faf17c5
"Neptune,",1716,815,168,27,0,1800.0,828.5,0.0187239944521497,0.0884210526315789,4dd86ce1-0010-4163-83fa-088f64107bb9
but,0,902,64,24,0,32.0,914.0,0.0166435506241331,0.0336842105263157,14de9a1e-6d03-4b9c-9a1f-1430bc5214e3
a,90,909,19,17,0,99.5,917.5,0.0117891816920943,0.01,bc8de49a-197e-4391-8f6a-0de48b67d323
stable,135,902,127,24,0,198.5,914.0,0.0166435506241331,0.0668421052631579,3d278f9f-41bf-4be9-a021-a54b5f0857e6
orbital,288,901,149,25,0,362.5,913.5,0.0173370319001386,0.0784210526315789,242e95bc-2ea7-41d2-8a36-9258d156dd15
resonance,464,908,194,18,0,561.0,917.0,0.0124826629680998,0.1021052631578947,53ebbf0f-c798-4cd9-9e8f-a70268150394
with,682,901,88,25,0,726.0,913.5,0.0173370319001386,0.0463157894736842,c8857269-5374-4017-8061-658e062096db
Neptune,792,905,152,27,0,868.0,918.5,0.0187239944521497,0.08,94fe4bd8-79a8-4407-a33b-c807b21e5641
prevents,968,905,174,27,0,1055.0,918.5,0.0187239944521497,0.091578947368421,aca33367-df63-4793-bfbb-ada1c65dfaf0
them,1169,902,85,24,0,1211.5,914.0,0.0166435506241331,0.0447368421052631,ff63f0d7-8b78-4518-857e-b214d2be1ffe
from,1279,903,85,23,0,1321.5,914.5,0.0159500693481276,0.0447368421052631,904957d9-92cb-486b-a5d3-ef186123224f
colliding.,1388,901,210,31,0,1493.0,916.5,0.0214979195561719,0.1105263157894736,815f95f9-df5d-4e04-afa9-0487b6831130
In,1631,905,41,21,0,1651.5,915.5,0.0145631067961165,0.021578947368421,b6c6f370-cf7e-4795-9423-5195a5bb1b29
